GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
40023207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,44,63
40023208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,100,245
40023209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,107,100
40023210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,86,278
40023211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,60,53
40023214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,154,150
40023215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,81,142
40023316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,156,425
40023318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,101,233
40023319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,72,207
40023320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,56,130
40023321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,100,265
40023322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,44,176
400252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,29,136
400253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,14,195
400254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,31,241
400255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,30,165
400256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,38,307
400257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,10,75
400271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,12
400272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,400,297
400273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,430,453
400274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,438,1579
400275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,586,1599
